Site,Sample Date,pH †(Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance ( µS/cm), Temperature † (°F),ortho-Phosphate †† (mg/L),Lead (µg/L),Copper (mg/L)
1SCL1,04/24/2022,7.47,,,94,50,2.19,,
1S03,04/24/2023,7.24,,,98,54,1.94,,
1S03A,04/24/2023,7.2,,,95,52,2.1,,
1S03B,04/24/2023,7.32,,,95,52,2.15,,
1S03,04/24/2024,7.12,,,87,50,2.07,,
1S03A,04/24/2024,7.09,,,89,50,2.05,,
1S03B,04/24/2024,7.25,,,91,50,2.13,,
1S03A,04/25/2015,7.15,,,107,47,2.32,,
1S03B,04/25/2015,7.44,,,109,47,2.3,,
1S04,04/25/2015,7.32,,,109,46,2.28,,
1S03A,04/25/2016,7.38,,,86,51,2.21,,
1S03B,04/25/2016,7.54,,,90,52,2.25,,
1S07,04/25/2016,7.37,,,88,52,1.92,,
1SCL1,04/25/2016,7.3,,,495,49,2.06,,
1S03,04/25/2017,7.34,,,107,50,1.93,,
1S03A,04/25/2017,7.15,,,92,47,2.05,,
1S03B,04/25/2017,7.55,,,105,49,1.52,,
1S03,04/25/2018,7.21,,,104,46,1.94,,
1S03A,04/25/2018,7.27,,,100,46,2.01,,
1S03B,04/25/2018,7.44,,,106,47,1.8,,
1S03,04/25/2019,7.23,,,87,49,2.1,,
1S03A,04/25/2019,7.36,,,85,50,2.04,,
1S03B,04/25/2019,7.48,,,88,49,2.16,,
1S03,04/25/2020,7.31,,,101,48,2.06,,
1S03A,04/25/2020,7.21,,,97,48,2.13,,
1S03B,04/25/2020,7.52,,,101,48,2.22,,
1S03,04/25/2021,7.27,,,95,50,2.1,,
1S03A,04/25/2021,7.11,,,91,48,2.06,,
1S03B,04/25/2021,7.31,,,93,48,2.09,,
1SCH3,04/25/2021,7.35,,,480,45,2.28,,
1SCL1,04/25/2021,7.25,,,479,46,2.07,,
1S03,04/25/2022,7.2,,,92,50,2.09,,
1S03A,04/25/2022,7.28,,,88,50,2.1,,
1S03B,04/25/2022,7.41,,,92,48,2.16,,
1SCH3,04/25/2022,7.4,,,92,50,2.14,,
1SCL1,04/25/2022,7.44,,,92,50,2.14,,
1S03,04/25/2023,7.22,,,98,52,2.04,,
1S03A,04/25/2023,7.2,,,94,52,2.08,,
1S03B,04/25/2023,7.35,,,95,52,2.12,,
1S03,04/25/2024,7.17,,,89,50,2.11,,
1S03A,04/25/2024,7.35,,,86,50,2.2,,
1S03B,04/25/2024,7.55,,,89,50,2.08,,
1S03A,04/26/2015,7.37,,,107,46,2.24,,
1S03B,04/26/2015,7.73,,,111,45,1.97,,
1S04,04/26/2015,7.38,,,110,46,2.15,,
1S03A,04/26/2016,7.39,,,86,51,2.28,,
1S03B,04/26/2016,7.53,,,90,52,2.18,,
1S07,04/26/2016,7.35,,,88,52,2.13,,
1SCL1,04/26/2016,7.19,,,497,49,1.99,,
1S03,04/26/2017,7.2,,,102,49,2.05,,
1S03A,04/26/2017,7.25,,,103,48,2.26,,
1S03B,04/26/2017,7.41,,,105,49,1.86,,
1S03,04/26/2018,7.32,,,104,46,1.73,,
1S03A,04/26/2018,7.23,,,102,48,2.17,,
1S03B,04/26/2018,7.43,,,106,48,2.01,,
1S03,04/26/2019,7.34,,,85,50,2.02,,
1S03A,04/26/2019,7.37,,,83,50,1.97,,
1S03B,04/26/2019,7.57,,,87,50,2.12,,
1S03,04/26/2020,7.31,,,104,48,2.07,,
1S03A,04/26/2020,7.29,,,100,48,2.25,,
1S03B,04/26/2020,7.46,,,103,48,2.11,,
1S03,04/26/2021,7.21,,,95,48,2.06,,
1S03A,04/26/2021,7.22,,,91,48,2.03,,
1S03B,04/26/2021,7.44,,,97,50,2.18,,
1SCH3,04/26/2021,7.39,,,484,45,2.3,,
1SCL1,04/26/2021,7.25,,,482,46,2.03,,
1S03,04/26/2022,7.21,,,91,50,2.04,,
1S03A,04/26/2022,7.22,,,88,48,2.04,,
1S03B,04/26/2022,7.42,,,91,50,2.12,,
1SCH3,04/26/2022,7.39,,,90,48,2.27,,
1SCL1,04/26/2022,7.39,,,90,50,2.17,,
1S03,04/26/2023,7.21,,,98,50,2,,
1S03A,04/26/2023,7.23,,,93,50,2.06,,
1S03B,04/26/2023,7.38,,,99,52,2.29,,
1S03,04/26/2024,7.26,,,88,50,2.08,,
1S03A,04/26/2024,7.26,,,88,50,2.07,,
1S03B,04/26/2024,7.43,,,89,50,2.05,,
1S03A,04/27/2015,7.29,,,107,46,2.21,,
1S03B,04/27/2015,7.56,,,111,46,2.14,,
1S04,04/27/2015,7.36,,,110,46,1.97,,
1S03A,04/27/2016,7.26,,,87,51,2.15,,
1S03B,04/27/2016,7.58,,,89,52,1.97,,
1S07,04/27/2016,7.35,,,88,53,1.95,,
1SCL1,04/27/2016,7.3,,,490,49,2.15,,
1S03,04/27/2017,7.34,,,105,50,1.98,,
1S03A,04/27/2017,7.22,,,104,50,2.05,,
1S03B,04/27/2017,7.41,,,106,50,1.93,,
1S03,04/27/2018,7.23,,,107,48,1.88,,
1S03A,04/27/2018,7.12,,,103,47,2.13,,
1S03B,04/27/2018,7.42,,,107,48,2.04,,
1S03,04/27/2019,7.33,,,87,51,2.06,,
1S03A,04/27/2019,7.19,,,85,50,1.94,,
1S03B,04/27/2019,7.52,,,88,51,2.05,,
1S03,04/27/2020,7.4,,,104,48,2.08,,
1S03A,04/27/2020,7.23,,,99,48,2.15,,
1S03B,04/27/2020,7.47,,,101,48,2.06,,
1S03,04/27/2021,7.27,,,97,48,2.21,,
1S03A,04/27/2021,7.11,,,92,48,2.11,,
1S03B,04/27/2021,7.39,,,95,48,2.12,,
1SCH3,04/27/2021,7.39,,,487,45,2.17,,
1SCL1,04/27/2021,7.33,,,485,46,2.14,,
1S03,04/27/2022,7.22,,,90,50,2.03,,
1S03A,04/27/2022,7.17,,,87,50,2.12,,
1S03B,04/27/2022,7.41,,,92,50,2.08,,
1SCH3,04/27/2022,7.31,,,89,50,2.09,,
1SCL1,04/27/2022,7.33,,,89,50,2.05,,
1S03,04/27/2023,7.19,,,96,52,2.01,,
1S03A,04/27/2023,7.17,,,91,52,2.11,,
1S03B,04/27/2023,7.36,,,97,52,2.2,,
1SCL1,04/27/2023,7.37,,,327,52,2.07,,
1S03,04/27/2024,7.16,,,89,50,2.07,,
1S03A,04/27/2024,7.22,,,89,50,2.11,,
1S03B,04/27/2024,7.4,,,90,50,2.12,,
1S03A,04/28/2015,7.29,,,106,46,2.05,,
1S03B,04/28/2015,7.5,,,113,46,1.98,,
1S04,04/28/2015,7.39,,,112,47,1.91,,
1S03A,04/28/2016,7.39,,,85,52,2.18,,
1S03B,04/28/2016,7.5,,,90,51,2.29,,
1S07,04/28/2016,7.33,,,88,52,2.09,,
1SCL1,04/28/2016,7.38,,,493,49,2.06,,
1S03,04/28/2017,7.12,,,105,50,1.99,,
1S03A,04/28/2017,7.15,,,102,50,2.02,,
1S03B,04/28/2017,7.35,,,106,50,2.03,,
1S03,04/28/2018,7.23,,,104,48,2.27,,
1S03A,04/28/2018,7.26,,,102,49,2.15,,
1S03B,04/28/2018,7.43,,,107,49,2.05,,
1S03,04/28/2019,7.29,,,86,49,2.22,,
1S03A,04/28/2019,7.28,,,84,48,1.85,,
1S03B,04/28/2019,7.61,,,87,49,2.08,,
1S03,04/28/2020,7.34,,,105,50,2.01,,
1S03A,04/28/2020,7.25,,,102,48,2.12,,
1S03B,04/28/2020,7.49,,,107,48,2.07,,
1S03,04/28/2021,7.31,,,94,50,2.07,,
1S03A,04/28/2021,7.27,,,91,50,2.17,,
1S03B,04/28/2021,7.45,,,97,50,2.18,,
1SCH3,04/28/2021,7.41,,,477,45,2.49,,
1SCL1,04/28/2021,7.31,,,486,46,2.05,,
1S03,04/28/2022,7.16,,,91,50,2.14,,
1S03A,04/28/2022,7.09,,,88,48,2.12,,
1S03B,04/28/2022,7.41,,,92,50,2.1,,
1SCH3,04/28/2022,7.35,,,91,48,2.01,,
1SCL1,04/28/2022,7.35,,,91,48,2.1,,
1S03,04/28/2023,7.2,,,95,52,2.01,,
1S03A,04/28/2023,7.19,,,93,52,2.15,,
1S03B,04/28/2023,7.4,,,95,52,2.15,,
1SCL1,04/28/2023,7.38,,,344,52,2.02,,
1S03,04/28/2024,7.14,,,87,52,2.08,,
1S03A,04/28/2024,7.25,,,86,50,2.08,,
1S03B,04/28/2024,7.42,,,88,50,2.07,,
1S03A,04/29/2015,7.26,,,109,48,2.26,,
1S03B,04/29/2015,7.59,,,113,47,2.1,,
1S04,04/29/2015,7.36,,,111,47,1.93,,
1S03A,04/29/2016,7.36,,,85,51,2.27,,
1S03B,04/29/2016,7.55,,,90,51,2.06,,
1S07,04/29/2016,7.38,,,87,51,2.06,,
1SCL1,04/29/2016,7.32,,,494,49,2.09,,
1S03,04/29/2017,7.28,,,105,53,1.91,,
1S03A,04/29/2017,7.26,,,102,53,2.09,,
1S03B,04/29/2017,7.51,,,106,52,2.07,,
1S03,04/29/2018,7.19,,,107,47,2.1,,
1S03A,04/29/2018,7.25,,,105,47,2.1,,
1S03B,04/29/2018,7.46,,,109,47,1.98,,
1S03,04/29/2019,7.32,,,86,49,2.11,,
1S03A,04/29/2019,7.2,,,84,48,2.08,,
1S03B,04/29/2019,7.49,,,87,51,2.22,,
1SCL1,04/29/2019,7.33,,,250,53,2.15,,
1S03,04/29/2020,7.29,,,104,48,2.16,,
1S03A,04/29/2020,7.32,,,100,48,2.15,,
1S03B,04/29/2020,7.49,,,105,48,2.23,,
1S03,04/29/2021,7.18,,,95,50,2.23,,
1S03A,04/29/2021,7.04,,,89,48,2.19,,
1S03B,04/29/2021,7.27,,,93,50,2.29,,
1SCH3,04/29/2021,7.36,,,485,45,2.46,,
1SCL1,04/29/2021,7.28,,,484,46,2.08,,
1S03,04/29/2022,7.18,,,92,52,2.21,,
1S03A,04/29/2022,7.27,,,90,50,2.11,,
1S03B,04/29/2022,7.44,,,94,50,2.09,,
1SCH3,04/29/2022,7.44,,,92,50,2.12,,
1SCL1,04/29/2022,7.48,,,93,52,2.08,,
1S03,04/29/2023,7.43,,,96,52,2.05,,
1S03A,04/29/2023,7.2,,,94,52,2.1,,
1S03B,04/29/2023,7.43,,,96,52,2.17,,
1SCL1,04/29/2023,7.39,,,391,52,1.96,,
1S03,04/29/2024,7.14,,,87,52,2.04,,
1S03A,04/29/2024,7.27,,,88,52,2.05,,
1S03B,04/29/2024,7.4,,,90,52,2.02,,
1S03A,04/30/2015,7.28,,,110,49,2.27,,
1S03B,04/30/2015,7.57,,,114,48,2.23,,
1S04,04/30/2015,7.5,,,113,49,2.1,,
1S03A,04/30/2016,7.38,,,90,51,2.23,,
1S03B,04/30/2016,7.72,,,91,51,1.9,,
1S07,04/30/2016,7.23,,,89,52,1.93,,
1SCL1,04/30/2016,7.38,,,496,49,2.1,,
1S03,04/30/2017,7.25,,,105,51,2.02,,
1S03A,04/30/2017,7.27,,,103,50,2.27,,
1S03B,04/30/2017,7.41,,,107,50,2.08,,
1S03,04/30/2018,7.19,,,108,48,1.98,,
1S03A,04/30/2018,7.23,,,101,45,2.28,,
1S03B,04/30/2018,7.39,,,108,47,2.08,,
1S03,04/30/2019,7.28,,,84,49,2.13,,
1S03A,04/30/2019,7.22,,,79,46,1.96,,
1S03B,04/30/2019,7.55,,,86,48,2.1,,
1SCL1,04/30/2019,7.36,,,350,49,2.35,,
1S03,04/30/2020,7.32,,,102,48,2.1,,
1S03A,04/30/2020,7.31,,,86,46,2.08,,
1S03B,04/30/2020,7.47,,,97,50,2.12,,
1S03,04/30/2021,7.2,,,95,52,2.1,,
1S03A,04/30/2021,7.18,,,91,50,2.19,,
1S03B,04/30/2021,7.39,,,95,50,2.17,,
1SCH3,04/30/2021,7.35,,,487,46,2.48,,
1SCL1,04/30/2021,7.35,,,484,46,2.08,,
1S03,04/30/2022,7.07,,,91,50,2.18,,
1S03A,04/30/2022,7.2,,,88,50,2.09,,
1S03B,04/30/2022,7.39,,,90,50,2.21,,
1SCH3,04/30/2022,7.37,,,90,50,2.14,,
1SCL1,04/30/2022,7.4,,,91,50,2.14,,
1S03,04/30/2023,7.2,,,94,52,2.07,,
1S03A,04/30/2023,7.18,,,91,52,2.11,,
1S03B,04/30/2023,7.34,,,92,52,2.15,,
1SCL1,04/30/2023,7.4,,,369,52,2,,
1S03,04/30/2024,7.21,,,85,52,2.03,,
1S03A,04/30/2024,7.32,,,88,52,2.08,,
1S03B,04/30/2024,7.4,,,89,54,2.13,,
1S03A,05/13/2015,7.38,,,106,54,2.25,,
1S03B,05/13/2015,7.59,,,111,54,2.14,,
1S04,05/13/2015,7.21,,,110,54,2.05,,
1SCL1,05/13/2015,7.41,,,222,50,2.21,,
1S03A,05/13/2016,7.38,,,89,55,2.26,,
1S03B,05/13/2016,7.5,,,92,55,2.15,,
1S07,05/13/2016,7.39,,,87,53,2.16,,
1SCL1,05/13/2016,7.4,,,403,52,2.33,,
1S03,05/13/2017,7.41,,,107,53,1.82,,
1S03A,05/13/2017,7.14,,,101,51,2.23,,
1S03B,05/13/2017,7.36,,,104,51,1.94,,
1S03,05/13/2018,7.42,,,102,51,1.97,,
1S03A,05/13/2018,7.34,,,100,51,2.17,,
1S03B,05/13/2018,7.41,,,104,51,1.97,,
1S03,05/13/2019,7.27,,,80,48,2.18,,
1S03A,05/13/2019,7.2,,,77,47,1.88,,
1S03B,05/13/2019,7.54,,,82,48,1.99,,
1SCL1,05/13/2019,7.2,,,389,49,2.1,,
1S03,05/13/2020,7.39,,,103,50,2.08,,
1S03A,05/13/2020,7.38,,,102,52,2.1,,
1S03B,05/13/2020,7.37,,,105,52,2.09,,
1S03,05/13/2021,7.21,,,95,52,2.07,,
1S03A,05/13/2021,7.18,,,94,52,2.13,,
1S03B,05/13/2021,7.31,,,98,52,2.21,,
1SCH3,05/13/2021,7.31,,,485,46,2.07,,
1SCL1,05/13/2021,7.18,,,483,48,2.05,,
1S03,05/13/2022,7.42,,,96,54,2.34,,
1S03A,05/13/2022,7.25,,,88,54,2.36,,
1S03B,05/13/2022,7.54,,,90,54,2.42,,
1SCH3,05/13/2022,7.51,,,89,54,,,
1SCL1,05/13/2022,7.5,,,93,55,,,
1S03,05/13/2023,7.32,,,96,55,2.5,,
1S03A,05/13/2023,7.31,,,94,54,2.5,,
1S03B,05/13/2023,7.54,,,97,55,2.48,,
1SCL1,05/13/2023,7.4,,,382,54,2.31,,
1S03,05/13/2024,7.23,,,91,54,2.34,,
1S03A,05/13/2024,7.51,,,90,54,2.42,,
1S03B,05/13/2024,7.5,,,93,54,2.51,,
1S03A,05/14/2015,7.26,,,107,52,2.24,,
1S03B,05/14/2015,7.55,,,112,52,2.19,,
1S04,05/14/2015,7.3,,,110,54,2.19,,
1SCL1,05/14/2015,7.32,,,263,51,2.17,,
1S03A,05/14/2016,7.52,,,88,55,2.13,,
1S03B,05/14/2016,7.7,,,91,53,2.11,,
1S07,05/14/2016,7.37,,,90,55,1.95,,
1SCL1,05/14/2016,7.36,,,420,53,2.41,,
1S03,05/14/2017,7.33,,,107,54,1.96,,
1S03A,05/14/2017,7.35,,,105,53,2.06,,
1S03B,05/14/2017,7.67,,,107,53,1.96,,
1S03,05/14/2018,7.37,,,103,50,1.9,,
1S03A,05/14/2018,7.36,,,99,51,2.12,,
1S03B,05/14/2018,7.5,,,103,51,2.07,,
1S03,05/14/2019,7.31,,,80,48,2.27,,
1S03A,05/14/2019,7.35,,,78,47,2.02,,
1S03B,05/14/2019,7.69,,,83,48,1.99,,
1SCL1,05/14/2019,7.21,,,394,48,2.1,,
1S03,05/14/2020,7.29,,,103,50,2.12,,
1S03A,05/14/2020,7.54,,,100,50,2.14,,
1S03B,05/14/2020,7.62,,,105,50,2.19,,
1S03,05/14/2021,7.22,,,96,54,2.1,,
1S03A,05/14/2021,7.28,,,94,54,2.15,,
1S03B,05/14/2021,7.46,,,95,54,2.23,,
1SCH3,05/14/2021,7.36,,,485,46,2.07,,
1SCL1,05/14/2021,7.23,,,481,48,1.92,,
1S03,05/14/2022,7.47,,,94,55,2.48,,
1S03A,05/14/2022,7.34,,,87,54,2.61,,
1S03B,05/14/2022,7.61,,,91,55,2.48,,
1SCH3,05/14/2022,7.61,,,90,54,,,
1SCL1,05/14/2022,7.61,,,92,55,,,
1S03,05/14/2023,7.32,,,96,55,2.5,,
1S03A,05/14/2023,7.27,,,93,54,2.45,,
1S03B,05/14/2023,7.51,,,95,54,2.53,,
1SCL1,05/14/2023,7.35,,,383,54,2.37,,
1S03,05/14/2024,7.27,,,90,54,2.43,,
1S03A,05/14/2024,7.5,,,89,54,2.34,,
1S03B,05/14/2024,7.52,,,92,54,2.48,,
1S03A,05/15/2015,7.43,,,104,56,2.18,,
1S03B,05/15/2015,7.59,,,111,55,2.09,,
1S04,05/15/2015,7.42,,,110,53,1.85,,
1SCL1,05/15/2015,7.33,,,217,51,2.14,,
1S03A,05/15/2016,7.42,,,88,51,2.16,,
1S03B,05/15/2016,7.55,,,93,52,2.19,,
1S07,05/15/2016,7.35,,,91,54,2.09,,
1SCL1,05/15/2016,7.39,,,408,53,2.37,,
1S03,05/15/2017,7.25,,,107,53,2.15,,
1S03A,05/15/2017,7.21,,,102,53,2.21,,
1S03B,05/15/2017,7.45,,,107,53,2.06,,
1S03,05/15/2018,7.35,,,100,50,2.06,,
1S03A,05/15/2018,7.31,,,95,52,2.21,,
1S03B,05/15/2018,7.45,,,98,53,2.15,,
1S03,05/15/2019,7.39,,,82,48,2.15,,
1S03A,05/15/2019,7.33,,,79,47,1.94,,
1S03B,05/15/2019,7.71,,,84,48,2.01,,
1SCL1,05/15/2019,7.24,,,384,49,1.97,,
1S03,05/15/2020,7.42,,,104,52,2.16,,
1S03A,05/15/2020,7.62,,,102,52,2.15,,
1S03B,05/15/2020,7.66,,,104,52,2.09,,
1S03,05/15/2021,7.24,,,96,54,2.11,,
1S03A,05/15/2021,7.29,,,94,54,2.18,,
1S03B,05/15/2021,7.39,,,96,54,2.22,,
1SCH3,05/15/2021,7.17,,,482,46,2.1,,
1SCL1,05/15/2021,7.15,,,477,48,1.96,,
1S03,05/15/2022,7.52,,,88,55,2.46,,
1S03A,05/15/2022,7.32,,,84,54,2.36,,
1S03B,05/15/2022,7.58,,,91,55,2.48,,
1SCH3,05/15/2022,7.47,,,86,55,2.42,,
1SCL1,05/15/2022,7.54,,,90,55,2.42,,
1S03,05/15/2023,7.32,,,97,55,2.48,,
1S03A,05/15/2023,7.31,,,95,54,2.5,,
1S03B,05/15/2023,7.54,,,97,55,2.53,,
1SCL1,05/15/2023,7.37,,,383,54,2.32,,
1S03,05/15/2024,7.22,,,90,55,2.43,,
1S03A,05/15/2024,7.31,,,88,54,2.43,,
1S03B,05/15/2024,7.43,,,92,55,2.41,,
1S03A,05/16/2015,7.37,,,106,53,2.28,,
1S03B,05/16/2015,7.6,,,110,53,2.2,,
1S04,05/16/2015,7.43,,,109,54,1.85,,
1SCL1,05/16/2015,7.49,,,277,50,2.11,,
1S03A,05/16/2016,7.4,,,89,51,2.16,,
1S03B,05/16/2016,7.57,,,92,52,1.99,,
1S07,05/16/2016,7.58,,,91,52,2.08,,
1SCL1,05/16/2016,7.4,,,391,51,2.34,,
1S03,05/16/2017,7.28,,,106,53,2.03,,
1S03A,05/16/2017,7.17,,,103,53,2.16,,
1S03B,05/16/2017,7.41,,,107,53,2.08,,
1S03,05/16/2018,7.27,,,97,52,2.02,,
1S03A,05/16/2018,7.3,,,95,51,2.22,,
1S03B,05/16/2018,7.42,,,101,52,2.02,,
1S03,05/16/2019,7.36,,,81,48,2.15,,
1S03A,05/16/2019,7.37,,,78,48,2.01,,
1S03B,05/16/2019,7.79,,,83,48,2.02,,
1SCL1,05/16/2019,7.24,,,387,50,1.96,,
1S03,05/16/2020,7.42,,,104,54,2.18,,
1S03A,05/16/2020,7.4,,,101,54,2.12,,
1S03B,05/16/2020,7.56,,,104,54,2.17,,
1S03,05/16/2021,7.26,,,97,54,2.08,,
1S03A,05/16/2021,7.27,,,95,54,2.16,,
1S03B,05/16/2021,7.44,,,97,54,2.2,,
1SCH3,05/16/2021,7.33,,,480,48,2.03,,
1SCL1,05/16/2021,7.21,,,480,48,2.07,,
1S03,05/16/2022,7.41,,,90,55,2.47,,
1S03A,05/16/2022,7.32,,,84,54,2.41,,
1S03B,05/16/2022,7.5,,,90,55,2.36,,
1SCH3,05/16/2022,7.52,,,90,55,,,
1SCL1,05/16/2022,7.53,,,91,57,2.47,,
1S03,05/16/2023,7.34,,,96,55,2.39,,
1S03A,05/16/2023,7.31,,,95,55,2.4,,
1S03B,05/16/2023,7.53,,,96,54,2.42,,
1SCL1,05/16/2023,7.39,,,360,54,2.34,,
1S03,05/16/2024,7.21,,,91,54,2.43,,
1S03A,05/16/2024,7.33,,,90,54,2.46,,
1S03B,05/16/2024,7.39,,,93,55,2.67,,
1S03A,05/17/2015,7.45,,,105,54,2.23,,
1S03B,05/17/2015,7.69,,,110,54,1.91,,
1S04,05/17/2015,7.53,,,109,55,1.91,,
1SCL1,05/17/2015,7.51,,,305,51,2.17,,
1S03A,05/17/2016,7.25,,,88,53,2.3,,
1S03B,05/17/2016,7.48,,,93,52,1.94,,
1S07,05/17/2016,7.4,,,90,53,1.86,,
1SCL1,05/17/2016,7.07,,,385,51,2.31,,
1S03,05/17/2017,7.33,,,107,53,1.93,,
1S03A,05/17/2017,7.18,,,103,54,2.16,,
1S03B,05/17/2017,7.5,,,108,54,2.03,,
1S03,05/17/2018,7.29,,,100,51,2.12,,
1S03A,05/17/2018,7.27,,,96,52,2.16,,
1S03B,05/17/2018,7.45,,,100,52,2.08,,
1SCL1,05/17/2018,7.26,,,332,53,1.9,,
1S03,05/17/2019,7.47,,,84,50,2.1,,
1S03A,05/17/2019,7.4,,,84,52,2.15,,
1S03B,05/17/2019,7.92,,,86,51,2.11,,
1SCL1,05/17/2019,7.24,,,380,49,1.97,,
1S03,05/17/2020,7.41,,,104,55,2.07,,
1S03A,05/17/2020,7.21,,,99,55,2.21,,
1S03B,05/17/2020,7.42,,,102,54,2.07,,
1S03,05/17/2021,7.28,,,96,55,2.07,,
1S03A,05/17/2021,7.35,,,95,54,2.15,,
1S03B,05/17/2021,7.52,,,97,54,2.13,,
1SCH3,05/17/2021,7.3,,,483,46,2.06,,
1SCL1,05/17/2021,7.2,,,482,48,2.1,,
1S03,05/17/2022,7.39,,,92,55,2.27,,
1S03A,05/17/2022,7.32,,,84,55,2.49,,
1S03B,05/17/2022,7.47,,,90,57,2.33,,
1SCH3,05/17/2022,7.54,,,89,55,,,
1SCL1,05/17/2022,7.56,,,88,55,,,
1S03,05/17/2023,7.21,,,97,55,2.42,,
1S03A,05/17/2023,7.25,,,95,54,2.44,,
1S03B,05/17/2023,7.5,,,98,55,2.49,,
1SCL1,05/17/2023,7.43,,,349,54,2.37,,
1S03,05/17/2024,7.26,,,92,55,2.4,,
1S03A,05/17/2024,7.33,,,91,55,2.49,,
1S03B,05/17/2024,7.44,,,93,55,2.49,,
1S03A,05/18/2015,7.38,,,106,55,2.3,,
1S03B,05/18/2015,7.6,,,109,56,2.2,,
1S04,05/18/2015,7.46,,,108,57,2.05,,
1SCL1,05/18/2015,7.35,,,245,51,2.05,,
1S03A,05/18/2016,7.31,,,89,53,2.2,,
1S03B,05/18/2016,7.53,,,93,52,2.08,,
1S07,05/18/2016,7.44,,,90,52,2.04,,
1SCL1,05/18/2016,7.2,,,447,51,2.42,,
1S03,05/18/2017,7.33,,,107,55,2.01,,
1S03A,05/18/2017,7.2,,,101,55,2.2,,
1S03B,05/18/2017,7.49,,,107,55,2.09,,
1S03,05/18/2018,7.36,,,100,52,2.02,,
1S03A,05/18/2018,7.26,,,98,52,2.07,,
1S03B,05/18/2018,7.38,,,102,52,1.91,,
1SCL1,05/18/2018,7.32,,,402,54,2.06,,
1S03,05/18/2019,7.4,,,87,51,2.14,,
1S03A,05/18/2019,7.32,,,86,51,2.27,,
1S03B,05/18/2019,7.78,,,88,52,2.17,,
1SCL1,05/18/2019,7.26,,,352,50,2,,
1S03,05/18/2020,7.39,,,105,54,2.17,,
1S03A,05/18/2020,7.3,,,101,54,2.06,,
1S03B,05/18/2020,7.59,,,106,54,2.07,,
1S03,05/18/2021,7.39,,,95,54,2.08,,
1S03A,05/18/2021,7.33,,,93,54,2.08,,
1S03B,05/18/2021,7.52,,,97,54,2.14,,
1SCH3,05/18/2021,7.36,,,483,54,2.04,,
1SCL1,05/18/2021,7.28,,,483,54,2.17,,
1S03,05/18/2022,7.29,,,91,55,2.25,,
1S03A,05/18/2022,7.47,,,88,55,2.23,,
1S03B,05/18/2022,7.49,,,91,55,2.3,,
1SCH3,05/18/2022,7.44,,,90,54,,,
1SCL1,05/18/2022,7.49,,,91,55,,,
1S03,05/18/2023,7.16,,,98,55,2.41,,
1S03A,05/18/2023,7.36,,,95,54,2.43,,
1S03B,05/18/2023,7.52,,,98,55,2.48,,
1SCL1,05/18/2023,7.4,,,390,52,2.4,,
1S03,05/18/2024,7.31,,,92,55,2.49,,
1S03A,05/18/2024,7.3,,,90,55,2.48,,
1S03B,05/18/2024,7.5,,,92,55,2.45,,
1S03A,05/19/2015,7.42,,,104,53,2.23,,
1S03B,05/19/2015,7.74,,,107,53,2.04,,
1S04,05/19/2015,7.41,,,112,55,2.2,,
1SCL1,05/19/2015,7.44,,,337,50,2.12,,
1S03A,05/19/2016,7.3,,,88,53,2.19,,
1S03B,05/19/2016,7.6,,,93,53,2.05,,
1S07,05/19/2016,7.46,,,91,51,1.95,,
1SCL1,05/19/2016,7.42,,,447,52,2.31,,
1S03,05/19/2017,7.25,,,104,54,1.98,,
1S03A,05/19/2017,7.19,,,104,55,2.08,,
1S03B,05/19/2017,7.43,,,106,55,2,,
1S03,05/19/2018,7.32,,,100,52,2.41,,
1S03A,05/19/2018,7.27,,,98,52,2.14,,
1S03B,05/19/2018,7.39,,,101,52,1.94,,
1SCL1,05/19/2018,7.23,,,469,53,2.2,,
1S03,05/19/2019,7.3,,,87,52,2.12,,
1S03A,05/19/2019,7.37,,,84,51,2.09,,
1S03B,05/19/2019,7.57,,,88,52,1.97,,
1SCL1,05/19/2019,7.36,,,369,49,1.95,,
1S03,05/19/2020,7.31,,,106,54,2.14,,
1S03A,05/19/2020,7.28,,,101,54,2.14,,
1S03B,05/19/2020,7.36,,,106,54,2.11,,
1S03,05/19/2021,7.3,,,95,55,2.09,,
1S03A,05/19/2021,7.38,,,93,54,2.17,,
1S03B,05/19/2021,7.48,,,97,54,2.23,,
1SCH3,05/19/2021,7.36,,,484,54,1.97,,
1SCL1,05/19/2021,7.34,,,478,54,2.14,,
1S03,05/19/2022,7.32,,,90,55,2.43,,
1S03A,05/19/2022,7.27,,,89,54,2.44,,
1S03B,05/19/2022,7.46,,,90,55,2.55,,
1SCH3,05/19/2022,7.36,,,90,55,,,
1SCL1,05/19/2022,7.43,,,96,55,,,
1S03,05/19/2023,7.32,,,98,55,2.44,,
1S03A,05/19/2023,7.31,,,96,55,2.46,,
1S03B,05/19/2023,7.53,,,99,55,2.48,,
1SCL1,05/19/2023,7.36,,,374,54,2.37,,
1S03,05/19/2024,7.25,,,92,55,2.5,,
1S03A,05/19/2024,7.3,,,88,55,2.49,,
1S03B,05/19/2024,7.48,,,91,55,2.56,,
1S03A,05/20/2015,7.25,,,104,53,2.21,,
1S03B,05/20/2015,7.65,,,109,54,2.24,,
1S04,05/20/2015,7.24,,,108,54,2.19,,
1SCL1,05/20/2015,7.46,,,276,51,2.47,,
1S03A,05/20/2016,7.34,,,89,54,2.22,,
1S03B,05/20/2016,7.56,,,92,54,2.16,,
1S07,05/20/2016,7.47,,,91,55,1.9,,
